############################
SERVER SIDE STARTED
############################


Starting resend nak thread
8306.5770669# Server sent data 000000254
8306.62788701# Server sent data 000000255
8306.67825389# Server sent data 000000256
8306.728724# Server sent data 000000257
8306.77920198# Server sent data 000000258
8306.82974792# Server sent data 000000259
8306.8804009# Server sent data 000000260
8306.93175197# Server sent data 000000261
8306.98220897# Server sent data 000000262
8307.03280711# Server sent data 000000263
8307.08315492# Server sent data 000000264
8307.13355899# Server sent data 000000265
8307.18399692# Server sent data 000000266
8307.23438406# Server sent data 000000267
8307.28481698# Server sent data 000000268
8307.335428# Server sent data 000000269
8307.38579893# Server sent data 000000270
8307.43669796# Server sent data 000000271
8307.48711395# Server sent data 000000272
8307.53766489# Server sent data 000000273
8307.5880549# Server sent data 000000274
8307.63913798# Server sent data 000000275
8307.68969989# Server sent data 000000276
8307.74016809# Server sent data 000000277
8307.79087591# Server sent data 000000278
8307.84196901# Server sent data 000000279
8307.89246798# Server sent data 000000280
8307.94282198# Server sent data 000000281
8307.99319601# Server sent data 000000282
8308.04372096# Server sent data 000000283
8308.09429908# Server sent data 000000284
8308.1450541# Server sent data 000000285
8308.19603896# Server sent data 000000286
8308.24678206# Server sent data 000000287
8308.29750109# Server sent data 000000288
8308.347965# Server sent data 000000289
8308.39911199# Server sent data 000000290
8308.44948697# Server sent data 000000291
8308.50064111# Server sent data 000000292
8308.55132103# Server sent data 000000293
8308.6017909# Server sent data 000000294
8308.65215302# Server sent data 000000295
8308.70295811# Server sent data 000000296
8308.7540431# Server sent data 000000297
8308.80453396# Server sent data 000000298
8308.85539103# Server sent data 000000299
8308.90601397# Server sent data 000000300
8308.95706701# Server sent data 000000301
8309.00746298# Server sent data 000000302
8309.05824208# Server sent data 000000303
8309.1094811# Server sent data 000000304
8309.16047311# Server sent data 000000305
8309.21095395# Server sent data 000000306
8309.26135707# Server sent data 000000307
8309.31180191# Server sent data 000000308
8309.36227894# Server sent data 000000309
8309.41287088# Server sent data 000000310
8309.46328306# Server sent data 000000311
8309.51468492# Server sent data 000000312
8309.56620407# Server sent data 000000313
8309.61666203# Server sent data 000000314
8309.66697788# Server sent data 000000315
8309.71734595# Server sent data 000000316
8309.76776195# Server sent data 000000317
8309.819139# Server sent data 000000318
8309.870157# Server sent data 000000319
8309.92095089# Server sent data 000000320
8309.97131991# Server sent data 000000321
8310.02193308# Server sent data 000000322
8310.07239795# Server sent data 000000323
8310.12293506# Server sent data 000000324
8310.17346811# Server sent data 000000325
8310.22424507# Server sent data 000000326
8310.27490211# Server sent data 000000327
8310.3254149# Server sent data 000000328
8310.37618899# Server sent data 000000329
8310.42704797# Server sent data 000000330
8310.47772193# Server sent data 000000331
8310.52828097# Server sent data 000000332
8310.57923889# Server sent data 000000333
8310.62992501# Server sent data 000000334
8310.68038392# Server sent data 000000335
8310.73080492# Server sent data 000000336
8310.78122497# Server sent data 000000337
8310.83169103# Server sent data 000000338
8310.88239098# Server sent data 000000339
8310.93274808# Server sent data 000000340
8310.983078# Server sent data 000000341
8311.03344297# Server sent data 000000342
8311.08382511# Server sent data 000000343
8311.1344769# Server sent data 000000344
8311.18488789# Server sent data 000000345
8311.23523402# Server sent data 000000346
8311.28601003# Server sent data 000000347
8311.33623505# Server sent data 000000348
8311.38698792# Server sent data 000000349
8311.43737602# Server sent data 000000350
8311.48852992# Server sent data 000000351
8311.53994203# Server sent data 000000352
8311.59074593# Server sent data 000000353
8311.64121103# Server sent data 000000354
8311.69175196# Server sent data 000000355
8311.74221396# Server sent data 000000356
8311.79265904# Server sent data 000000357
8311.84304309# Server sent data 000000358
8311.89416003# Server sent data 000000359
8311.94495702# Server sent data 000000360
8311.99552393# Server sent data 000000361
8312.04590511# Server sent data 000000362
8312.09681606# Server sent data 000000363
8312.14731908# Server sent data 000000364
8312.19781494# Server sent data 000000365
8312.24841094# Server sent data 000000366
8312.2988131# Server sent data 000000367
8312.34981203# Server sent data 000000368
8312.40042901# Server sent data 000000369
8312.45081401# Server sent data 000000370
8312.50133991# Server sent data 000000371
8312.55246496# Server sent data 000000372
8312.60278296# Server sent data 000000373
